Pbar,m_min,m_max,n_combinations
224.0,0.059,0.059,1
231.0,0.0585,0.0585,1
232.0,0.0585,0.0585,1
233.0,0.0585,0.0585,1
234.0,0.0585,0.0585,1
235.0,0.0585,0.0585,1
239.0,0.058,0.058,1
240.0,0.058,0.058,1
241.0,0.058,0.058,1
242.0,0.058,0.058,1
243.0,0.058,0.058,1
244.0,0.058,0.058,1
245.0,0.058,0.058,1
246.0,0.0575,0.058,2
247.0,0.0575,0.058,2
248.0,0.0575,0.058,2
249.0,0.0575,0.058,2
250.0,0.0575,0.0575,1
251.0,0.0575,0.0575,1
252.0,0.0575,0.0575,1
253.0,0.057,0.0575,2
254.0,0.057,0.0575,2
255.0,0.057,0.0575,2
256.0,0.057,0.0575,2
257.0,0.057,0.0575,2
258.0,0.057,0.0575,2
259.0,0.057,0.0575,2
260.0,0.0565,0.0575,3
261.0,0.0565,0.0575,3
262.0,0.0565,0.0575,3
263.0,0.0565,0.0575,3
264.0,0.0565,0.0575,3
265.0,0.0565,0.0575,3
266.0,0.0565,0.057,2
267.0,0.0565,0.057,2
268.0,0.056,0.057,3
269.0,0.056,0.057,3
270.0,0.056,0.057,3
271.0,0.056,0.057,3
272.0,0.056,0.057,3
273.0,0.056,0.057,3
274.0,0.056,0.057,3
275.0,0.0555,0.057,4
276.0,0.0555,0.057,4
277.0,0.0555,0.057,4
278.0,0.0555,0.057,4
279.0,0.0555,0.057,4
280.0,0.0555,0.057,4
281.0,0.0555,0.057,4
282.0,0.0555,0.057,4
283.0,0.055,0.057,5
284.0,0.055,0.057,5
285.0,0.055,0.0565,4
286.0,0.055,0.0565,4
287.0,0.055,0.0565,4
288.0,0.055,0.0565,4
289.0,0.055,0.0565,4
290.0,0.055,0.0565,4
291.0,0.0545,0.0565,5
292.0,0.0545,0.0565,5
293.0,0.0545,0.0565,5
294.0,0.0545,0.0565,5
295.0,0.0545,0.0565,5
296.0,0.0545,0.0565,5
297.0,0.0545,0.0565,5
298.0,0.0545,0.0565,5
299.0,0.054,0.0565,6
300.0,0.054,0.0565,6
301.0,0.054,0.0565,6
302.0,0.054,0.0565,6
303.0,0.054,0.0565,6
304.0,0.054,0.0565,6
305.0,0.054,0.0565,6
306.0,0.054,0.0565,6
307.0,0.0535,0.0565,7
308.0,0.0535,0.0565,7
309.0,0.0535,0.056,6
310.0,0.0535,0.056,6
311.0,0.0535,0.056,6
312.0,0.0535,0.056,6
313.0,0.0535,0.056,6
314.0,0.0535,0.056,6
315.0,0.053,0.056,7
316.0,0.053,0.056,7
317.0,0.053,0.056,7
318.0,0.053,0.056,7
319.0,0.053,0.056,7
320.0,0.053,0.056,7
321.0,0.053,0.056,7
322.0,0.053,0.056,7
323.0,0.053,0.056,7
324.0,0.0525,0.056,8
325.0,0.0525,0.056,8
326.0,0.0525,0.056,8
327.0,0.0525,0.056,8
328.0,0.0525,0.056,8
329.0,0.0525,0.056,8
330.0,0.0525,0.056,8
331.0,0.0525,0.056,8
332.0,0.052,0.056,9
333.0,0.052,0.056,9
334.0,0.052,0.056,9
335.0,0.052,0.056,9
336.0,0.052,0.056,9
337.0,0.052,0.056,9
338.0,0.052,0.0555,8
339.0,0.052,0.0555,8
340.0,0.052,0.0555,8
341.0,0.0515,0.0555,9
342.0,0.0515,0.0555,9
343.0,0.0515,0.0555,9
344.0,0.0515,0.0555,9
345.0,0.0515,0.0555,9
346.0,0.0515,0.0555,9
347.0,0.0515,0.0555,9
348.0,0.0515,0.0555,9
349.0,0.0515,0.0555,9
350.0,0.0515,0.0555,9
351.0,0.051,0.0555,10
352.0,0.051,0.0555,10
353.0,0.051,0.0555,10
354.0,0.051,0.0555,10
355.0,0.051,0.0555,10
356.0,0.051,0.0555,10
357.0,0.051,0.0555,10
358.0,0.051,0.0555,10
359.0,0.051,0.0555,10
360.0,0.0505,0.0555,11
361.0,0.0505,0.0555,11
362.0,0.0505,0.0555,11
363.0,0.0505,0.0555,11
364.0,0.0505,0.0555,11
365.0,0.0505,0.0555,11
366.0,0.0505,0.0555,11
367.0,0.0505,0.0555,11
368.0,0.0505,0.0555,11
369.0,0.0505,0.0555,11
370.0,0.05,0.0555,12
371.0,0.05,0.0555,12
372.0,0.05,0.0555,12
373.0,0.05,0.0555,12
374.0,0.05,0.0555,12
375.0,0.05,0.0555,12
376.0,0.05,0.055,11
377.0,0.05,0.055,11
378.0,0.05,0.055,11
379.0,0.05,0.055,11
380.0,0.0495,0.055,12
381.0,0.0495,0.055,12
382.0,0.0495,0.055,12
383.0,0.0495,0.055,12
384.0,0.0495,0.055,12
385.0,0.0495,0.055,12
386.0,0.0495,0.055,12
387.0,0.0495,0.055,12
388.0,0.0495,0.055,12
389.0,0.0495,0.055,12
390.0,0.0495,0.055,12
391.0,0.049,0.055,13
392.0,0.049,0.055,13
393.0,0.049,0.055,13
394.0,0.049,0.055,13
395.0,0.049,0.055,13
396.0,0.049,0.055,13
397.0,0.049,0.055,13
398.0,0.049,0.055,13
399.0,0.049,0.055,13
400.0,0.049,0.055,13
401.0,0.0485,0.055,14
402.0,0.0485,0.055,14
403.0,0.0485,0.055,14
404.0,0.0485,0.055,14
405.0,0.0485,0.055,14
406.0,0.0485,0.055,14
407.0,0.0485,0.055,14
