varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
eta,0.75,False,linear,False,0,,,0.45,0.01,0.75,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.75,False,nonlinear,False,0,,,0.45,0.01,0.75,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.7575,False,linear,False,0,,,0.45,0.01,0.7575,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.7575,False,nonlinear,False,0,,,0.45,0.01,0.7575,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.765,False,linear,False,0,,,0.45,0.01,0.765,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.765,False,nonlinear,False,0,,,0.45,0.01,0.765,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.7725,False,linear,False,0,,,0.45,0.01,0.7725,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.7725,False,nonlinear,False,0,,,0.45,0.01,0.7725,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.78,False,linear,False,0,,,0.45,0.01,0.78,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.78,False,nonlinear,False,0,,,0.45,0.01,0.78,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.7875,False,linear,False,0,,,0.45,0.01,0.7875,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.7875,False,nonlinear,False,0,,,0.45,0.01,0.7875,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.795,False,linear,False,0,,,0.45,0.01,0.795,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.795,False,nonlinear,False,0,,,0.45,0.01,0.795,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.8025,False,linear,False,0,,,0.45,0.01,0.8025,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.8025,False,nonlinear,False,0,,,0.45,0.01,0.8025,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.81,False,linear,False,0,,,0.45,0.01,0.81,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.81,False,nonlinear,False,0,,,0.45,0.01,0.81,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.8175,False,linear,False,0,,,0.45,0.01,0.8175,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
