varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
m,0.05,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.05,0.2,0.30084119037752854,0.6991588096224715,0.8610272140949882,0.9279155209904554,0.017479338518098363,0.014958677036196721,0.03495794048112357,0.03495794048112357,8.845360488976758e-15,True,True,True,saddle,-0.2516304850504519,0.0,0.017479338517649545,0.0,0.2691098235671656,0.0,solution
m,0.05,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.05,0.2,0.5634828265714698,0.43651717342853025,0.8126178131656174,0.9014531674832683,0.02144869154417642,0.022897383088352836,0.049193986146099315,0.049193986146099336,2.0816681711721685e-17,True,True,True,saddle,-0.341304871271908,0.0,0.021448691544165524,0.0,0.3627535628161536,0.0,solution
m,0.0511646496140377,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.0511646496140377,0.2046585984561508,0.2999045074131026,0.7000954925868974,0.8579737425647245,0.9262687204935318,0.017726358592636896,0.015452717185273787,0.035820140574575735,0.035820140574575735,1.0335082908183036e-14,True,True,True,saddle,-0.2550714543795408,0.0,0.01772635859227726,0.0,0.27279781298308836,0.0,solution
m,0.0511646496140377,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.0511646496140377,0.2046585984561508,0.56347010258932,0.43652989741068005,0.8088989021889069,0.8993880709620886,0.021758456022353368,0.02351691204470675,0.05034019188027302,0.05034019188027298,4.163336342344337e-17,True,True,True,saddle,-0.34555388178031715,0.0,0.021758456022241635,0.0,0.3673123378040735,0.0,solution
m,0.052356427402544974,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.052356427402544974,0.2094257096101799,0.29900240819220714,0.7009975918077929,0.8548683698518967,0.9245909202733373,0.017978028625666068,0.01595605725133213,0.03670172952484357,0.03670172952484356,1.2296706227592087e-14,True,True,True,saddle,-0.2585554537836403,0.0,0.01797802862568483,0.0,0.2765334824102989,0.0,solution
m,0.052356427402544974,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.052356427402544974,0.2094257096101799,0.5634676727554793,0.43653232724452073,0.8051205865521063,0.8972851199881263,0.022073898668447726,0.024147797336895437,0.05151283017593653,0.05151283017593652,1.3877787807814457e-17,True,True,True,saddle,-0.3498690486176934,0.0,0.022073898668456382,0.0,0.37194294728736865,0.0,solution
m,0.05357596526188032,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.05357596526188032,0.21430386104752128,0.2981346256310947,0.7018653743689053,0.8517106639212962,0.9228817171887719,0.018234409088350886,0.01646881817670177,0.037603114915705095,0.037603114915705095,1.3873560519539772e-14,True,True,True,saddle,-0.2620830041064332,0.0,0.018234409088269007,0.0,0.2803174132030596,0.0,solution
m,0.05357596526188032,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.05357596526188032,0.21430386104752128,0.5634755290400457,0.4365244709599543,0.8012824885565246,0.8951438367974862,0.02239509114704374,0.02479018229408747,0.052712504405932926,0.05271250440593295,2.0816681711721685e-17,True,True,True,saddle,-0.35425169473709056,0.0,0.0223950911470146,0.0,0.3766467858882917,0.0,solution
m,0.054823909807159246,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.054823909807159246,0.21929563922863698,0.29730089809469007,0.7026991019053099,0.8485002067364485,0.9211407095207814,0.018495560238549452,0.016991120477098904,0.03852471218442851,0.03852471218442852,1.666205774092481e-14,True,True,True,saddle,-0.2656546394783704,0.0,0.018495560238307885,0.0,0.2841501997250846,0.0,solution
m,0.054823909807159246,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.054823909807159246,0.21929563922863698,0.563493666171026,0.43650633382897397,0.7973842532021782,0.89296374685772,0.022722104638008667,0.025444209276017347,0.053939831357678346,0.05393983135767836,1.3877787807814457e-17,True,True,True,saddle,-0.35870317781891325,0.0,0.02272210463806551,0.0,0.38142528245936336,0.0,solution
m,0.05610092271509817,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.05610092271509817,0.2244036908603927,0.29650096956416483,0.7034990304358352,0.8452365951157439,0.9193674973130951,0.018761542069702403,0.017523084139404805,0.039466944736627284,0.039466944736627284,1.9448363401701522e-14,True,True,True,saddle,-0.26927090801361747,0.0,0.018761542070045295,0.0,0.2880324500834415,0.0,solution
m,0.05610092271509817,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.05610092271509817,0.2244036908603927,0.5635220816243416,0.4364779183756584,0.7934255493400869,0.8907443793480186,0.023055009764463865,0.026110019528927737,0.05519544151306129,0.05519544151306123,9.359342702784294e-17,True,True,True,saddle,-0.36322489148916964,0.0,0.023055009764474887,0.0,0.3862799012538482,0.0,solution
m,0.05740768107484413,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.05740768107484413,0.22963072429937653,0.2957345897914285,0.7042654102085715,0.8419194416046958,0.9175616827247615,0.01903241425795245,0.018064828515904893,0.04043024406129795,0.04043024406129795,2.218787680817898e-14,True,True,True,saddle,-0.2729323720456853,0.0,0.019032414257680246,0.0,0.2919647863092324,0.0,solution
m,0.05740768107484413,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.05740768107484413,0.22963072429937653,0.563560775612205,0.43643922438779503,0.7894060708407366,0.8884852676554275,0.023393876518352535,0.026787753036705095,0.056479979333229714,0.05647997933322971,1.2023342914997798e-15,True,True,True,saddle,-0.3678182661932807,0.0,0.023393876518318535,0.0,0.3912121427146463,0.0,solution
m,0.058744877746976475,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.058744877746976475,0.2349795109879059,0.2950015144408814,0.7049984855591186,0.8385483753634991,0.9157228703944764,0.019308236107495203,0.01861647221499041,0.04141504984597399,0.04141504984597398,2.5965494511862135e-14,True,True,True,saddle,-0.27663960871639703,0.0,0.019308236107495567,0.0,0.2959478448264141,0.0,solution
