Pbar,mNL,n_points,E_roots,x_roots,tau_roots
224.0,0.059,3,23.8576149156; 32.3388566329; 39.1896827375,0.1171393503; 0.1242542596; 0.1280366366,0.0694403883; 0.0466917393; 0.0364301610
231.0,0.0585,3,20.2519748288; 38.6424960403; 40.6400765587,0.1125741862; 0.1277268567; 0.1286488132,0.0864065260; 0.0372227822; 0.0348888940
232.0,0.0585,3,20.6211507707; 33.9177747582; 45.7049178483,0.1130933418; 0.1251850233; 0.1306751459,0.0843837619; 0.0440486165; 0.0300248512
233.0,0.0585,3,21.0607711016; 31.5714112197; 48.3215674481,0.1136919278; 0.1236862575; 0.1315789795,0.0820812526; 0.0483425505; 0.0279729798
234.0,0.0585,3,21.6149406830; 29.6337630607; 50.4155590003,0.1144177107; 0.1222986465; 0.1322444604,0.0793321904; 0.0524960360; 0.0265086293
235.0,0.0585,3,22.4023711589; 27.7326853292; 52.2403219937,0.1153975604; 0.1207796834; 0.1327872251,0.0756950724; 0.0572389141; 0.0253434546
239.0,0.058,3,18.4898126670; 37.6589043886; 48.2354696521,0.1097735639; 0.1271913592; 0.1315085275,0.0977316929; 0.0386130557; 0.0281303096
240.0,0.058,3,18.6745691826; 35.4796128783; 50.9420833263,0.1100778737; 0.1260350681; 0.1323641723,0.0964673615; 0.0417019924; 0.0262493882
241.0,0.058,3,18.8732727945; 33.8614517377; 53.0742039434,0.1103997311; 0.1250953920; 0.1329856521,0.0951390812; 0.0442997947; 0.0249240200
242.0,0.058,3,19.0887692851; 32.5108782262; 54.9225248888,0.1107426012; 0.1242507536; 0.1334910792,0.0937342127; 0.0467018410; 0.0238714602
243.0,0.058,3,19.3249514005; 31.3169196067; 56.5941226171,0.1111111958; 0.1234529518; 0.1339239425,0.0922355965; 0.0490289270; 0.0229880667
244.0,0.058,3,19.5873778718; 30.2204409133; 58.1425698629,0.1115122014; 0.1226735411; 0.1343060011,0.0906189215; 0.0513570039; 0.0222221940
245.0,0.058,3,19.8844542017; 29.1817178864; 59.5991819178,0.1119556623; 0.1218897539; 0.1346499779,0.0888477294; 0.0537526072; 0.0215437592
246.0,0.0575,3,17.0464009892; 40.9079708834; 50.5580655055,0.1071162171; 0.1286706068; 0.1322067964,0.1091220910; 0.0348346385; 0.0265904556
246.0,0.058,3,20.2299552996; 28.1668122700; 60.9841186986,0.1124579240; 0.1210770493; 0.1349640686,0.0868627970; 0.0562942607; 0.0209334562
247.0,0.0575,3,17.1522479359; 38.6817904879; 53.3924939789,0.1073161377; 0.1276453736; 0.1330357733,0.1082433206; 0.0374326866; 0.0248186275
247.0,0.058,3,20.6493950095; 27.1363387953; 62.3112482344,0.1130490310; 0.1201997403; 0.1352539151,0.0845554728; 0.0591038543; 0.0203780414
248.0,0.0575,3,17.2619578782; 37.0998013086; 55.5794320336,0.1075212719; 0.1268536891; 0.1336259845,0.1073453256; 0.0395028280; 0.0235943571
248.0,0.058,3,21.2013063182; 26.0217468035; 63.5905848350,0.1137973256; 0.1191854065; 0.1355235957,0.0816791289; 0.0624375496; 0.0198679756
249.0,0.0575,3,17.3759087212; 35.8183347163; 57.4621670445,0.1077321261; 0.1261690813; 0.1341033956,0.1064261896; 0.0413378984; 0.0226267201
249.0,0.058,3,22.1138744432; 24.5873425830; 64.8296336663,0.1149664247; 0.1177673710; 0.1357761703,0.0772848970; 0.0672513425; 0.0193961262
250.0,0.0575,3,17.4945394021; 34.7185098110; 59.1591376585,0.1079492858; 0.1255474550; 0.1345115160,0.1054836976; 0.0430402372; 0.0218155868
251.0,0.0575,3,17.6183643302; 33.7421490565; 60.7280037194,0.1081734351; 0.1249669168; 0.1348715551,0.1045152671; 0.0446610728; 0.0211123061
252.0,0.0575,3,17.7479924879; 32.8554525749; 62.2019528718,0.1084053802; 0.1244144350; 0.1351957384,0.1035178564; 0.0462313978; 0.0204889227
253.0,0.057,3,15.9428597447; 44.1405008352; 52.5435998168,0.1048025685; 0.1299556225; 0.1327557643,0.1195504302; 0.0317102168; 0.0254102778
253.0,0.0575,3,17.8841531635; 32.0365345412; 63.6021384332,0.1086460833; 0.1238812425; 0.1354918705,0.1024878411; 0.0477726239; 0.0199276442
254.0,0.057,3,16.0117474845; 41.7183701124; 55.6128076268,0.1049479343; 0.1289729940; 0.1335966843,0.1188812123; 0.0340862001; 0.0236544039
254.0,0.0575,3,18.0277313492; 31.2700561812; 64.9430109979,0.1088967072; 0.1233608358; 0.1357652922,0.1014208458; 0.0493012610; 0.0194163314
255.0,0.057,3,16.0820381667; 40.0866914025; 57.8907050706,0.1050952405; 0.1282544957; 0.1341715296,0.1182049775; 0.0358778427; 0.0224902752
255.0,0.0575,3,18.1798176189; 30.5445418577; 66.2349524722,0.1091586789; 0.1228479434; 0.1360198476,0.1003115067; 0.0508313797; 0.0189462728
256.0,0.057,3,16.1538137549; 38.7945439123; 59.8281278315,0.1052446065; 0.1276492311; 0.1346310771,0.1175212566; 0.0374227363; 0.0215807647
256.0,0.0575,3,18.3417804147; 29.8508694790; 67.4857133799,0.1094337819; 0.1223379066; 0.1362584122,0.0991531290; 0.0523761675; 0.0185109712
257.0,0.057,3,16.2271637097; 37.7028227823; 61.5640881931,0.1053961620; 0.1271104817; 0.1350219157,0.1168295399; 0.0388252476; 0.0208220109
257.0,0.0575,3,18.5153743469; 29.1813176943; 68.7012573649,0.1097242932; 0.1218262314; 0.1364832027,0.0979371747; 0.0539491526; 0.0181054319
258.0,0.057,3,16.3021859669; 36.7466029746; 63.1634101716,0.1055500488; 0.1266163349; 0.1353658158,0.1161292720; 0.0401343306; 0.0201656109
258.0,0.0575,3,18.7029090753; 28.5288714944; 69.8862867102,0.1100331968; 0.1213081817; 0.1366959711,0.0966524672; 0.0555654425; 0.0177257193
259.0,0.057,3,16.3789880853; 35.8893407841; 64.6625268575,0.1057064220; 0.1261543735; 0.1356750398,0.1154198460; 0.0413777792; 0.0195843732
259.0,0.0575,3,18.9075259111; 27.8866032109; 71.0445847361,0.1103645331; 0.1207783048; 0.1368981297,0.0952838920; 0.0572433119; 0.0173686691
260.0,0.0565,3,15.0485099439; 47.7402322818; 53.9374157470,0.1027111184; 0.1312146645; 0.1331086174,0.1293867197; 0.0287913074; 0.0246658526
260.0,0.057,3,16.4576885983; 35.1080447710; 66.0843081296,0.1058654520; 0.1257167126; 0.1359573021,0.1147005960; 0.0425733182; 0.0190612348
260.0,0.0575,3,19.1336797499; 27.2469589302; 72.1792474521,0.1107240051; 0.1202297391; 0.1370908371,0.0938101402; 0.0590066530; 0.0170316934
261.0,0.0565,3,15.0967288384; 44.8211619117; 57.5259637637,0.1028229459; 0.1301702149; 0.1340448835,0.1288509449; 0.0312027535; 0.0227442254
261.0,0.057,3,16.5384186189; 34.3871231965; 67.4442116158,0.1060273267; 0.1252979378; 0.1362178288,0.1139707888; 0.0437332067; 0.0185846654
261.0,0.0575,3,19.3880492105; 26.6006866187; 73.2928452934,0.1111201200; 0.1196530128; 0.1372750576,0.0921994627; 0.0608893586; 0.0167126445
262.0,0.0565,3,15.1455223888; 43.0560399111; 59.9605154219,0.1029355374; 0.1294806221; 0.1346255242,0.1283126334; 0.0328480452; 0.0215916427
262.0,0.057,3,16.6213237546; 33.7154089749; 68.7532558238,0.1061922543; 0.1248941069; 0.1364603541,0.1132296136; 0.0448664692; 0.0181464474
262.0,0.0575,3,19.6814551909; 25.9348015880; 74.3875390989,0.1115665905; 0.1190336011; 0.1374516035,0.0904007498; 0.0629443388; 0.0164097178
263.0,0.0565,3,15.1949131919; 41.7007163481; 61.9851950964,0.1030489286; 0.1289175951; 0.1350787944,0.1277716370; 0.0342227099; 0.0207127213
263.0,0.057,3,16.7065664116; 33.0845603628; 70.0196171490,0.1063604660; 0.1245022105; 0.1366876561,0.1124761701; 0.0459800995; 0.0177404829
263.0,0.0575,3,20.0336111744; 25.2277510917; 75.4651652079,0.1120882591; 0.1183459690; 0.1376211671,0.0883215298; 0.0652655941; 0.0161213801
264.0,0.0565,3,15.2449251397; 40.5746128788; 63.7805543059,0.1031631575; 0.1284255563; 0.1354602339,0.1272277997; 0.0354471251; 0.0199872352
264.0,0.057,3,16.7943285853; 32.4881309438; 71.2495570976,0.1065322203; 0.1241198576; 0.1369018671,0.1117094537; 0.0470797682; 0.0173621023
264.0,0.0575,3,20.4884653016; 24.4340085576; 76.5272991558,0.1127401718; 0.1175344751; 0.1377843438,0.0857571978; 0.0680590408; 0.0158463164
265.0,0.0565,3,15.2955835250; 39.5995962614; 65.4246980936,0.1032782639; 0.1279803771; 0.1357939312,0.1266809579; 0.0365734760; 0.0193631593
265.0,0.057,3,16.8848152723; 31.9209945955; 72.4479939084,0.1067078077; 0.1237450781; 0.1371046668,0.1109283373; 0.0481702663; 0.0170076373
