varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
delta,0.001,False,linear,True,1,1,-,0.45,0.001,1.5,1.0,0.5,2.0,0.3409033319815069,0.6590966680184931,0.3332260400026131,0.5772573429611901,0.06407806522248814,0.12615613044497628,0.32954833400924655,0.32954833400924655,7.861548467830746e-17,True,True,True,saddle,-1.0153006410477976,0.0,0.06407806522152533,0.0,1.0793787063018188,0.0,solution
delta,0.001,False,nonlinear,True,1,1,upper,0.45,0.001,1.5,1.0,0.5,2.0,0.6138855135924279,0.38611448640757207,0.23715075752897952,0.4869812702034643,0.07761947613614703,0.15323895227229403,0.4740601795875778,0.47406017958757785,3.4885955649366123e-16,True,True,True,saddle,-1.5709808872177802,0.0,0.07761947613568079,0.0,1.648600363326902,0.0,solution
delta,0.001095,False,linear,True,1,1,-,0.45,0.001095,1.5,1.0,0.5,2.0,0.34107905091553536,0.6589209490844646,0.33330116558821143,0.5773224104330364,0.06413163843504453,0.12607327687008907,0.3294604745422323,0.3294604745422323,1.156370713032607e-16,True,True,True,saddle,-1.0150650775666406,0.0,0.0641316384355819,0.0,1.079196715985537,0.0,solution
delta,0.001095,False,nonlinear,True,1,1,upper,0.45,0.001095,1.5,1.0,0.5,2.0,0.61395180915429,0.38604819084570996,0.23716626406789934,0.4869971910267033,0.07768042134599451,0.15317084269198902,0.47402997038092837,0.47402997038092853,1.6653345369377348e-16,True,True,True,saddle,-1.5710936470290777,0.0,0.07768042134625378,0.0,1.648774068356742,0.0,solution
delta,0.00119,False,linear,True,1,1,-,0.45,0.00119,1.5,1.0,0.5,2.0,0.3412546736383223,0.6587453263616777,0.33337627542787734,0.5773874569367413,0.06418521479282213,0.12599042958564427,0.32937266318083885,0.32937266318083885,0.0,True,True,True,saddle,-1.0148298327140974,0.0,0.06418521479373468,0.0,1.0790150474686524,0.0,solution
delta,0.00119,False,nonlinear,True,1,1,upper,0.45,0.00119,1.5,1.0,0.5,2.0,0.6140180773624593,0.3859819226375407,0.2371817747486354,0.4870131155817422,0.077741365996072,0.153102731992144,0.47399975606913664,0.4739997560691365,1.1102230246251565e-16,True,True,True,saddle,-1.5712063624772326,0.0,0.07774136599689754,0.0,1.6489477284546916,0.0,solution
delta,0.0012850000000000001,False,linear,True,1,1,-,0.45,0.0012850000000000001,1.5,1.0,0.5,2.0,0.3414302002320103,0.6585697997679897,0.3334513695264775,0.5774524824836045,0.06423879429412599,0.125907588588252,0.32928489988399484,0.32928489988399484,5.553080820616299e-17,True,True,True,saddle,-1.0145949058356445,0.0,0.06423879429500866,0.0,1.0788337001016137,0.0,solution
delta,0.0012850000000000001,False,nonlinear,True,1,1,upper,0.45,0.0012850000000000001,1.5,1.0,0.5,2.0,0.614084318235477,0.38591568176452296,0.23719728956533417,0.4870290438622056,0.07780231008733583,0.15303462017467165,0.47396953666549263,0.4739695366654928,2.1396528745646793e-16,True,True,True,saddle,-1.5713190334955653,0.0,0.07780231008750206,0.0,1.6491213435789984,0.0,solution
delta,0.00138,False,linear,True,1,1,-,0.45,0.00138,1.5,1.0,0.5,2.0,0.34160563077864514,0.6583943692213549,0.3335264478888764,0.5775174870849162,0.06429237693726257,0.12582475387452513,0.32919718461067743,0.32919718461067743,8.794357616982235e-17,True,True,True,saddle,-1.0143602962924925,0.0,0.06429237693893777,0.0,1.0786526731944852,0.0,solution
delta,0.00138,False,nonlinear,True,1,1,upper,0.45,0.00138,1.5,1.0,0.5,2.0,0.6141505317918671,0.38584946820813293,0.23721280851214982,0.48704497586172657,0.07786325362074101,0.15296650724148203,0.473939312183268,0.4739393121832679,1.1102230246251565e-16,True,True,True,saddle,-1.5714316601905838,0.0,0.07786325362074835,0.0,1.6492949138117028,0.0,solution
delta,0.001475,False,linear,True,1,1,-,0.45,0.001475,1.5,1.0,0.5,2.0,0.34178096536017555,0.6582190346398245,0.333601510519936,0.5775824707519576,0.0643459627205397,0.1257419254410794,0.3291095173199122,0.3291095173199122,1.0648197243332724e-16,True,True,True,saddle,-1.0141260033552606,0.0,0.06434596272030438,0.0,1.0784719661009594,0.0,solution
delta,0.001475,False,nonlinear,True,1,1,upper,0.45,0.001475,1.5,1.0,0.5,2.0,0.6142167180501343,0.38578328194986566,0.23722833158324513,0.48706091157394793,0.07792419659724115,0.15289839319448228,0.47390908263571224,0.47390908263571224,2.6337635581712996e-17,True,True,True,saddle,-1.5715442425415256,0.0,0.07792419659704958,0.0,1.6494684391126726,0.0,solution
delta,0.00157,False,linear,True,1,1,-,0.45,0.00157,1.5,1.0,0.5,2.0,0.3419562040584533,0.6580437959415467,0.33367655742451574,0.577647433496,0.06439955164226667,0.12565910328453334,0.32902189797077336,0.32902189797077336,5.093761706417389e-17,True,True,True,saddle,-1.0138920264899831,0.0,0.06439955164439068,0.0,1.078291578119013,0.0,solution
delta,0.00157,False,nonlinear,True,1,1,upper,0.45,0.00157,1.5,1.0,0.5,2.0,0.6142828770287667,0.3857171229712333,0.23724385877279075,0.48707685099252124,0.07798513901778849,0.152830278035577,0.47387884803605557,0.47387884803605557,3.6545861231390385e-16,True,True,True,saddle,-1.5716567806285098,0.0,0.07798513901794947,0.0,1.6496419196379688,0.0,solution
delta,0.0016649999999999998,False,linear,True,1,1,-,0.45,0.0016649999999999998,1.5,1.0,0.5,2.0,0.3421313469552336,0.6578686530447664,0.33375158860747306,0.5777123753283057,0.06445314370075415,0.1255762874015083,0.3289343265223832,0.3289343265223832,4.631733727215496e-18,True,True,True,saddle,-1.013658364924186,0.0,0.06445314370039154,0.0,1.0781115086571271,0.0,solution
